NAME,TYPE,LOCATION,RESOURCE GROUP,SUBSCRIPTION,LAST ACCESSED
"laboratorioai900","Azure Machine Learning workspace","East US","Estudo","Azure for Students","há 3 minutos"
"Estudo","Resource group","","Estudo","Azure for Students","há 7 dias"
